img_filename,bedrooms,bathrooms,sqft_living,price
prop_65.jpg,4,1,3391,158102
prop_66.jpg,2,1,3560,194460
prop_67.jpg,2,3,4024,1258506
prop_68.jpg,4,2,3951,299208
prop_69.jpg,4,1,904,1323273
prop_70.jpg,1,3,1776,333945
prop_71.jpg,5,3,1891,351915
prop_72.jpg,5,3,1535,847952
prop_73.jpg,2,2,2593,328124
prop_74.jpg,5,3,2582,557477
prop_75.jpg,2,3,1019,645830
prop_76.jpg,1,3,1730,1452397
prop_77.jpg,4,3,4575,1346380
prop_78.jpg,4,1,2269,159081
prop_79.jpg,4,1,1640,838216
prop_80.jpg,5,3,1016,475249
prop_81.jpg,1,2,3738,1388506
prop_82.jpg,5,1,2050,925497
prop_83.jpg,5,3,2831,637313
prop_84.jpg,1,1,1912,1383108
prop_85.jpg,1,1,2564,732380
prop_86.jpg,1,2,1981,1485413
prop_87.jpg,1,3,1412,1457682
prop_88.jpg,4,3,3749,1196871
prop_89.jpg,3,2,1459,1182383
prop_90.jpg,3,2,4572,277504
prop_91.jpg,1,3,4243,1406643
prop_92.jpg,3,3,4970,812440
prop_93.jpg,3,2,2370,514540
prop_94.jpg,1,1,1480,637923
prop_95.jpg,3,1,3194,1335557
prop_96.jpg,5,2,4047,864699
prop_97.jpg,2,1,2579,139870
prop_98.jpg,2,2,4406,1072082
prop_99.jpg,1,1,3644,1371772
prop_100.jpg,4,1,4256,368683
prop_101.jpg,1,3,4945,1403253
prop_102.jpg,4,3,2143,146790
prop_103.jpg,2,1,4018,931721
prop_104.jpg,1,1,3041,568345
prop_105.jpg,5,3,3959,869074
prop_106.jpg,3,3,3859,1254764
prop_107.jpg,4,3,3165,649036
prop_108.jpg,3,2,3379,910141
prop_109.jpg,3,1,2535,768249
prop_110.jpg,1,3,2657,1198931
prop_111.jpg,3,1,2970,831131
prop_112.jpg,5,2,3749,571015
prop_113.jpg,3,2,4151,276542
prop_114.jpg,1,3,4630,1341992
prop_115.jpg,5,2,3389,425062
prop_116.jpg,2,1,2531,986651
prop_117.jpg,3,3,3716,1230205
prop_118.jpg,1,1,1915,1496760
prop_119.jpg,2,1,2248,875195
prop_120.jpg,2,2,3987,410160
prop_121.jpg,4,2,3739,333920
prop_122.jpg,5,2,1235,1411380
prop_123.jpg,3,2,1795,773983
prop_124.jpg,1,2,4446,941052
prop_125.jpg,4,3,1751,248148
prop_126.jpg,5,1,2587,1361290
prop_127.jpg,4,1,2831,851899
prop_128.jpg,5,1,4646,403876
prop_129.jpg,5,1,3327,379747
prop_130.jpg,3,2,2468,735650
prop_131.jpg,5,1,4900,543570
prop_132.jpg,4,3,3638,395987
prop_133.jpg,5,3,4398,1147512
prop_134.jpg,3,1,4813,758353
prop_135.jpg,3,1,1966,978158
prop_136.jpg,4,3,3344,137640
prop_137.jpg,2,3,4273,172528
prop_138.jpg,2,2,4869,379214
prop_139.jpg,5,3,3446,1090240
prop_140.jpg,1,2,1653,621108
prop_141.jpg,5,2,2982,754421
prop_142.jpg,4,2,3674,1318735
prop_143.jpg,4,2,3796,1341078
prop_144.jpg,4,2,1675,275576
prop_145.jpg,4,1,2525,1044618
prop_146.jpg,4,3,3969,985291
prop_147.jpg,3,2,1317,1006089
prop_148.jpg,2,3,1014,1048479
prop_149.jpg,4,3,1516,1179599
